"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"Rappahannock County","VA","23.8","17.6","3.7","32.4","83.0","934","1012","-3.6","183","0.2","0.8","4.6","3.4","0.1","2.0","92.4","89.2","78.3","3261","3950","394800","2.27","1.1","56438","36505","10.8","22","5.2","266.23","5.0","92.2","0","35.4","50.2","697","7373","7361","-1.9","27.7","199","0","219","3042","0.0","0.0","0.0","0.0","0.0","1270","0.0"
"Richmond County","VA","19.5","17.1","4.0","12.3","73.8","545","1920","-6.2","176","0.4","0.7","30.0","6.5","0.0","1.8","67.0","61.3","74.9","2853","3905","155700","2.56","7.2","47083","20875","12.8","26","7.1","191.49","9.5","89.4","0","28.8","44.5","512","9254","8902","-3.8","48.3","0","0","756","8259","0.0","0.0","0.0","0.0","0.0","714","26.3"
"Roanoke County","VA","19.6","20.8","4.8","33.1","90.9","5430","28903","-3.0","2015","0.2","3.2","5.8","2.7","0.0","1.7","89.0","86.8","76.7","37928","40588","193700","2.39","16.6","60795","31728","6.6","219","5.2","250.52","6.9","86.9","8960","20.3","52.0","8535","92376","93785","1.5","368.7","1126","5046","8356","9281","0.0","3.3","0.0","0.9","0.0","7222","30.0"
"Rockbridge County","VA","24.2","17.4","3.9","23.2","84.4","1487","4390","0.0","434","0.6","0.6","2.7","1.6","0.0","1.5","94.5","93.1","73.2","9234","11268","179500","2.4","5.2","48313","25638","12.6","44","1.8","597.56","3.8","89.9","3259","22.0","50.6","2579","22307","22327","0.1","37.3","491","326","3383","15786","0.0","0.0","0.0","0.0","0.0","1942","0.0"
"Rockingham County","VA","18.0","22.4","5.4","23.4","80.7","5431","26765","10.3","1429","0.6","0.7","2.1","6.0","0.0","1.5","95.1","90.1","76.8","29440","34540","195300","2.56","10.3","52195","27298","10.4","252","4.7","849.09","8.5","89.1","54374","22.1","51.0","4837","76314","78171","2.4","89.9","621","5399","4554","6171","0.0","0.0","0.0","0.0","0.0","5740","0.0"
"Russell County","VA","18.8","19.7","5.2","10.5","74.7","1173","5758","-7.1","483","0.2","0.2","1.0","1.1","0.0","0.7","97.8","96.9","78.2","11191","13405","91100","2.53","6.0","33872","19735","19.3","30","1.1","473.82","0.9","91.3","1929","28.3","51.2","1458","28897","28023","-3.0","61.0","155","364","2556","8806","0.0","0.0","0.0","0.0","0.0","1921","21.4"
"Scott County","VA","21.5","18.9","4.8","10.9","74.9","955","3350","-5.6","298","0.3","0.2","0.8","1.3","0.1","0.7","97.9","96.8","77.0","9692","11868","91000","2.32","4.1","38355","21485","18.3","15","0.8","535.53","1.2","89.8","4515","28.4","49.9","1501","23177","22384","-3.4","43.3","115","0","1972","8634","0.0","0.0","0.0","0.0","0.0","1319","0.0"
"Shenandoah County","VA","20.2","21.5","5.6","19.8","84.6","2851","11204","-2.0","870","0.4","0.8","2.4","6.8","0.0","1.6","94.8","88.8","70.5","17397","21067","205300","2.4","14.0","49625","25134","11.7","87","4.1","508.78","7.5","84.0","10580","29.9","51.2","3629","41993","43021","2.4","82.5","500","3471","4942","12176","0.0","0.0","0.0","2.8","0.0","3757","0.0"
"Smyth County","VA","20.0","20.1","4.9","15.0","79.9","1484","9011","-5.3","517","0.2","0.4","2.4","1.8","0.0","1.2","95.9","94.3","70.8","12650","15340","91200","2.47","10.4","37239","20837","18.4","26","1.2","450.93","1.9","84.5","7772","20.7","51.0","2387","32208","31555","-2.0","71.4","241","527","3003","9388","0.0","0.0","0.0","0.0","0.0","1996","28.1"
"Southampton County","VA","18.0","19.0","4.4","13.6","78.0","838","1746","-6.0","226","0.4","0.3","36.1","1.3","0.0","1.6","61.5","60.7","71.8","6708","7552","150000","2.52","4.7","46150","22433","16.0","28","1.1","599.15","2.0","89.8","8314","31.3","48.1","2173","18570","18059","-2.9","31.0","0","704","579","3144","0.0","0.0","0.0","0.0","0.0","772","29.5"
"Spotsylvania County","VA","12.2","25.6","6.1","28.2","89.1","7557","27727","0.7","2329","0.4","2.7","16.1","8.7","0.2","3.3","77.3","70.1","77.5","41709","46242","249100","2.97","7.3","78345","31360","7.6","375","6.4","401.5","9.5","87.3","4963","38.0","50.8","13141","122397","129188","5.3","304.9","1698","4303","21485","18064","0.0","4.5","9.7","3.7","0.0","8956","33.2"
"Stafford County","VA","9.1","26.8","6.4","36.2","92.6","7623","29297","1.5","2144","0.7","3.3","18.0","11.3","0.2","3.9","74.0","64.8","76.9","42178","46526","299300","3.04","9.1","97110","36574","5.1","772","8.4","268.96","12.8","84.1","1408","39.4","49.6","17657","128961","139992","8.6","479.5","1403","12499","9302","7701","0.0","5.5","15.0","6.6","0.0","9051","34.1"
"Surry County","VA","19.1","18.2","4.5","16.7","77.8","309","0","0.0","74","0.4","0.4","43.8","1.7","0.0","1.8","53.5","52.3","79.9","2602","3503","161600","2.66","2.5","47292","22600","11.5","25","1.1","278.95","1.7","91.9","0","33.5","50.7","702","7058","6790","-3.9","25.3","0","0","125","1780","0.0","0.0","0.0","0.0","0.0","265","0.0"
"Sussex County","VA","16.2","16.0","4.6","10.3","70.0","438","1991","0.9","191","0.4","0.5","57.5","2.8","0.0","1.1","40.5","38.6","70.2","3704","4717","118000","2.19","5.0","39635","16546","15.3","20","2.0","490.22","2.5","88.7","0","27.1","40.6","1114","12087","11767","-2.6","24.7","157","0","688","5698","0.0","0.0","0.0","0.0","0.0","515","26.9"
"Tazewell County","VA","19.2","19.6","5.0","12.9","77.0","2108","13482","-1.1","1088","0.2","0.7","3.4","0.9","0.0","1.1","94.6","93.8","73.0","18294","20677","88000","2.37","7.9","35693","21358","18.3","26","0.8","518.85","1.4","90.1","3545","25.1","50.3","3265","45078","43452","-3.6","86.9","521","0","8117","18473","0.0","0.0","0.0","0.0","0.0","2969","27.6"
"Warren County","VA","14.5","22.6","5.8","20.5","84.0","2497","9701","3.9","776","0.5","1.1","5.1","4.1","0.1","2.1","91.2","87.5","72.5","14387","16123","219000","2.58","10.0","61610","28889","9.3","87","3.7","213.47","4.7","87.7","0","39.9","50.1","3584","37575","38987","4.2","176.0","412","186","3696","10182","0.0","0.0","0.0","0.0","0.0","3372","35.9"
"Washington County","VA","20.3","19.1","4.9","22.3","83.2","3375","16890","-0.9","1176","0.2","0.6","1.5","1.4","0.0","0.8","97.0","95.6","75.8","22755","25725","131500","2.34","11.9","41897","25109","12.1","55","1.3","560.98","2.3","87.4","13595","23.4","50.7","4604","54876","54729","-0.3","97.8","592","2796","7016","13292","0.0","0.0","0.0","0.0","0.0","4931","28.5"
"Westmoreland County","VA","23.7","18.5","5.4","14.9","79.1","1166","2399","-2.7","324","0.8","0.8","27.4","6.1","0.1","2.4","68.5","63.6","77.9","7130","10790","180900","2.44","2.8","49157","25245","12.9","64","3.4","229.38","3.1","92.9","1996","38.8","51.4","1756","17454","17477","0.1","76.1","142","388","1004","5794","0.0","0.0","0.0","0.0","0.0","1870","23.7"
"Wise County","VA","15.9","20.0","5.4","13.1","72.9","1508","10295","-15.4","773","0.2","0.4","5.4","1.2","0.0","1.0","93.0","92.0","70.8","15406","17844","83900","2.48","6.4","36218","19107","21.9","14","1.5","403.19","2.6","88.4","0","22.2","48.2","2901","41452","39935","-3.7","102.8","400","4961","4386","10513","0.0","0.0","0.0","0.0","0.0","2794","28.1"
"Wythe County","VA","19.7","20.1","5.0","15.0","81.7","1501","9454","3.0","689","0.2","0.6","2.9","1.1","0.0","1.3","95.1","94.1","73.7","11656","14189","112100","2.48","9.8","41275","23219","14.4","79","0.9","461.82","2.3","91.7","5674","21.3","51.1","2201","29235","29121","-0.4","63.3","631","1054","9080","31847","0.0","0.0","0.0","0.0","0.0","2250","22.6"
"York County","VA","14.6","24.1","5.3","42.0","94.9","3479","16731","-3.1","1407","0.5","5.5","13.4","5.8","0.2","3.3","77.1","72.5","75.1","24071","27258","316800","2.69","18.1","82073","36373","5.7","432","7.0","104.78","8.8","83.9","0","21.5","50.7","9868","65464","66342","1.8","624.8","1874","1497","8522","13854","0.0","6.7","6.7","0.0","0.0","4807","33.5"
"Alexandria city","VA","10.1","17.8","7.5","61.4","91.2","13472","83411","0.1","4640","0.8","6.9","22.6","16.6","0.1","3.1","66.4","52.3","43.3","65369","75329","476700","2.17","63.1","85706","54608","8.4","1324","26.3","15.03","31.1","78.3","2845","30.5","51.6","10810","139966","150575","7.5","9314.3","4717","5257","23537","16785","0.8","7.6","14.0","6.8","0.0","15161","32.6"
"Bedford city","VA","0.0","0.0","0.0","25.0","86.3","387","3824","-11.5","315","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58.7","2800","0","146400","2.07","27.6","35593","22322","18.7","0","2.1","6.88","3.9","87.5","0","18.7","0.0","641","6222","0","0.0","904.6","154","288","1248","19848","0.0","0.0","8.6","0.0","0.0","589","24.9"
"Bristol city","VA","19.9","20.0","4.5","19.6","81.6","993","11042","2.1","621","0.3","0.9","5.9","1.7","0.0","1.9","91.0","89.6","58.6","7674","8820","110800","2.25","28.9","32221","18820","21.0","10","1.6","13.01","3.2","81.2","6597","17.5","52.5","1469","17835","17184","-3.7","1370.6","765","3188","3435","19709","0.0","0.0","0.0","0.0","0.0","1304","26.7"
"Buena Vista city","VA","17.6","21.8","6.3","14.9","77.0","304","1926","5.1","112","1.2","0.6","5.3","2.5","0.3","2.0","90.7","88.4","66.1","2738","2920","118900","2.29","12.5","36591","18453","20.6","0","0.6","6.7","3.9","77.6","2028","16.8","53.2","466","6650","6603","-0.7","991.9","0","0","306","4900","0.0","0.0","0.0","0.0","0.0","448","31.5"
"Charlottesville city","VA","9.5","15.6","5.7","49.9","88.2","3768","31317","1.7","2013","0.4","7.1","19.2","4.9","0.1","3.2","69.9","66.1","40.5","17443","20291","293000","2.33","40.6","44601","27268","27.5","173","12.3","10.24","13.9","72.1","6770","17.4","51.7","1742","43475","45593","5.0","4246.4","3035","2034","6993","16950","0.0","3.3","0.0","1.3","0.0","4915","25.8"
"Chesapeake city","VA","11.8","24.5","6.3","29.3","90.2","12540","86962","2.2","5328","0.4","3.4","30.1","5.3","0.1","3.2","62.7","58.9","72.5","79421","88110","261600","2.77","16.9","69743","29905","8.5","886","4.8","340.8","7.4","85.4","14370","24.4","51.0","25990","222209","233371","5.0","652.0","3697","21232","39777","18152","1.0","3.7","18.2","2.0","0.0","16367","32.9"
"Colonial Heights city","VA","20.1","23.1","7.1","20.5","88.7","890","9689","-1.7","660","0.6","3.3","13.9","5.3","0.2","2.2","79.8","75.8","64.0","7017","7803","181300","2.46","21.0","50835","27610","9.3","13","5.2","7.52","7.2","89.5","0","20.9","53.8","1960","17411","17731","1.8","2315.3","760","283","7610","42981","0.0","4.3","0.0","0.0","0.0","1419","21.5"
"Covington city","VA","18.9","22.5","7.1","8.3","78.8","243","3880","-0.2","228","0.4","0.8","12.8","2.5","0.0","2.4","83.7","81.5","72.9","2545","3039","66900","2.29","9.0","34319","20160","21.3","1","2.0","5.47","3.4","81.3","0","21.6","50.6","631","5961","5802","-2.6","1090.2","0","130","1045","16849","0.0","0.0","0.0","0.0","0.0","402","0.0"
"Danville city","VA","19.7","22.3","6.9","17.2","77.9","2251","24043","-0.4","1330","0.4","1.2","49.4","3.4","0.1","1.5","47.5","44.8","54.4","18659","22345","87800","2.22","25.8","30786","19626","27.4","12","3.4","42.93","4.9","80.9","12759","19.1","53.8","4057","43055","42444","-1.4","1002.8","1102","2040","8922","19845","0.0","0.0","16.5","0.0","0.0","2919","21.5"
"Emporia city","VA","17.5","23.8","4.2","16.0","71.4","256","3930","-7.5","236","0.5","1.2","63.7","5.5","0.1","1.3","33.2","29.2","45.5","2488","2608","104000","2.23","23.3","32155","19710","29.0","13","2.8","6.89","3.5","84.0","3115","19.6","53.8","335","5927","5462","-7.8","859.7","242","0","1316","23509","0.0","0.0","0.0","0.0","0.0","596","30.1"
"Fairfax city","VA","15.4","23.5","9.0","51.9","92.0","2866","29657","8.1","2207","0.8","17.0","5.4","16.6","0.1","3.4","73.3","58.8","68.4","8492","8810","456700","2.65","23.7","97242","44345","7.2","54","25.2","6.24","31.8","81.7","0","31.7","50.7","1752","22565","24483","8.6","3616.8","1402","1922","18840","80800","0.0","22.1","4.1","8.9","0.0","5919","28.7"
"Falls Church city","VA","11.4","26.6","7.3","74.4","97.3","1332","9487","1.1","865","0.5","9.3","5.3","9.5","0.1","4.3","80.6","72.3","59.4","5020","5496","660900","2.53","44.2","120000","59088","4.0","547","16.9","2.0","23.4","79.1","0","27.3","51.0","686","12332","13601","10.7","6169.1","562","0","2880","26089","0.0","0.0","0.0","0.0","0.0","1479","32.3"
"Franklin city","VA","17.5","26.2","8.8","20.6","79.4","434","3583","-0.8","289","0.4","0.9","57.3","2.3","0.0","2.1","39.2","37.8","42.5","3551","3871","186700","2.37","32.5","31928","19588","23.0","3","2.9","8.21","2.3","80.8","0","27.2","54.9","839","8582","8526","-0.4","1045.8","225","254","1862","21041","0.0","0.0","0.0","0.0","0.0","597","42.4"
"Fredericksburg city","VA","10.1","20.3","7.2","35.1","90.3","1742","20593","1.7","1313","0.8","3.0","24.1","10.9","0.1","3.7","68.4","60.0","38.1","9779","11469","314300","2.38","47.5","47040","27222","18.6","23","8.9","10.44","11.8","70.4","0","25.0","54.5","1934","24286","28350","18.0","2326.2","1715","0","10521","47014","0.0","0.0","5.2","2.2","0.0","2765","28.4"
"Galax city","VA","20.0","23.9","7.4","14.5","75.8","413","5076","0.9","300","0.3","0.6","7.0","14.7","0.3","2.1","89.7","76.8","65.1","3018","3232","112900","2.21","20.3","30325","21769","25.3","1","6.7","8.24","9.1","90.1","2040","21.4","53.0","559","7042","7014","-0.4","854.6","225","369","2274","33474","0.0","0.0","0.0","0.0","0.0","589","0.0"
"Hampton city","VA","13.7","21.7","6.3","22.5","89.3","6191","40712","0.8","2376","0.5","2.4","49.8","5.3","0.2","3.8","43.3","40.1","60.1","52511","60326","195400","2.52","27.3","50705","25247","14.9","160","5.0","51.41","7.3","85.2","5223","22.1","51.9","20146","137436","136879","-0.5","2673.2","2335","2889","18057","12334","0.0","6.4","29.1","2.5","0.0","7523","33.2"
"Harrisonburg city","VA","8.1","16.2","5.3","35.1","81.5","2446","23777","-7.7","1559","0.7","4.0","8.4","18.6","0.2","2.6","84.1","68.1","36.2","15701","18065","208100","2.7","42.1","38048","17080","33.5","152","14.7","17.42","21.8","66.7","7463","15.7","52.1","1646","48914","52478","7.3","2808.2","1686","3784","14653","33306","0.0","0.0","0.0","0.0","0.0","3693","27.4"
"Hopewell city","VA","15.7","25.3","7.5","10.2","76.8","796","5985","-5.1","415","0.6","1.1","39.4","7.2","0.2","3.2","55.5","50.4","50.4","8766","10255","139400","2.53","24.5","37933","20388","20.1","90","4.6","10.28","6.1","88.7","14959","21.4","53.3","1879","22591","22196","-1.7","2198.0","477","581","1738","7534","0.0","0.0","12.7","6.8","0.0","1056","48.3"
"Lexington city","VA","14.1","12.3","3.7","41.7","78.3","459","3828","2.9","287","0.3","3.2","9.6","3.8","0.1","2.2","84.6","81.1","55.5","1709","2528","262700","2.05","25.7","36505","14763","25.2","8","5.2","2.5","8.5","80.6","0","17.0","44.4","320","7042","7311","3.9","2820.2","312","19","867","12564","0.0","0.0","0.0","0.0","0.0","532","0.0"
"Lynchburg city","VA","14.0","20.0","6.5","31.2","86.0","3870","55822","1.2","2196","0.5","3.1","28.5","3.3","0.1","2.1","65.7","63.1","52.7","28556","32349","145800","2.35","32.1","38138","21440","24.7","92","5.0","49.13","6.7","73.9","28016","16.9","53.2","5488","75568","79047","4.5","1538.2","1899","5414","16651","23171","0.0","2.0","11.6","0.0","0.0","4794","26.4"
"Manassas city","VA","8.2","27.0","8.6","28.7","82.6","3034","21046","-1.8","1416","1.3","6.0","15.1","33.7","0.2","3.7","73.7","43.9","65.2","12072","13381","245000","3.24","23.4","71036","28752","11.7","125","25.5","9.88","36.4","82.5","14086","33.8","49.7","2621","37821","42081","11.2","3827.6","756","0","9212","26459","0.0","7.9","0.0","0.0","0.0","3549","25.9"
"Manassas Park city","VA","7.5","24.9","5.1","26.0","82.9","1109","3012","0.4","321","1.3","10.3","15.0","35.5","0.3","3.7","69.4","38.3","63.7","4435","4900","213300","3.41","19.6","71227","26944","7.0","11","31.6","2.53","44.4","84.4","0","40.8","49.1","885","14273","15174","6.6","5632.6","53","0","1580","13701","0.0","10.8","0.0","22.2","0.0","1196","23.7"
"Martinsville city","VA","20.4","23.3","7.5","16.7","77.7","727","9141","-0.2","576","0.4","1.0","45.1","4.8","0.0","2.0","51.4","47.6","53.7","5995","7162","86800","2.22","26.3","28116","19900","27.2","1","3.2","10.96","5.2","81.1","2013","17.8","54.0","1045","13821","13711","-0.8","1261.5","287","0","3169","21799","0.0","1.8","21.4","0.0","0.0","1357","25.3"
"Newport News city","VA","11.6","23.5","7.3","23.9","89.2","8306","86291","1.1","3721","0.6","3.2","41.1","8.5","0.2","4.0","50.9","45.2","51.4","69211","77384","200100","2.5","35.6","51027","25310","15.2","330","7.3","68.71","10.4","76.4","47027","22.4","51.6","21639","180719","182965","1.1","2630.0","3290","9019","24312","12593","0.4","5.7","20.8","3.3","0.0","10746","30.1"
"Norfolk city","VA","9.9","20.3","6.9","25.3","86.0","11529","106493","-2.9","5386","0.7","3.7","42.7","7.5","0.2","3.5","49.2","44.0","44.5","85557","96665","202800","2.59","42.0","44747","24659","19.2","650","6.4","54.12","9.6","77.1","12808","21.5","47.8","28126","242803","245428","1.1","4486.4","5050","32804","27241","11540","0.0","3.5","20.7","1.8","0.0","14430","30.5"
"Norton city","VA","14.8","22.9","5.6","20.5","81.4","219","4446","-1.8","240","0.3","1.5","6.6","3.3","0.0","2.3","89.3","86.3","52.7","1706","1938","88000","2.31","27.2","39416","22699","18.1","0","2.5","7.48","3.0","82.6","0","15.0","52.7","265","3958","4031","2.2","529.1","172","941","2837","76514","0.0","0.0","0.0","0.0","0.0","474","27.2"
"Petersburg city","VA","15.3","22.1","8.4","14.9","73.7","1187","13700","1.5","713","0.4","1.2","77.6","4.4","0.2","2.2","18.4","15.9","45.7","12456","16448","122500","2.53","34.1","34424","18936","26.7","8","3.7","22.93","5.0","85.0","5958","22.7","53.8","2692","32420","32701","0.9","1413.7","366","3560","3242","9823","0.0","0.0","39.6","0.0","0.0","1678","22.6"
"Poquoson city","VA","18.3","21.8","3.6","37.2","92.7","785","1311","-10.7","214","0.4","2.4","1.2","2.3","0.0","1.6","94.4","92.4","81.8","4591","4749","302400","2.62","7.5","81892","38444","5.6","24","4.1","15.32","6.4","90.7","0","22.8","50.5","1363","12150","12048","-0.9","793.2","91","0","547","4628","0.0","0.0","0.0","0.0","0.0","961","19.6"
"Portsmouth city","VA","13.9","23.4","7.6","19.5","82.4","4518","27079","-2.6","1696","0.5","1.4","53.4","4.0","0.1","2.8","41.8","39.3","57.2","36690","41068","175600","2.52","30.3","46166","23138","18.4","153","2.7","33.65","4.6","80.5","6529","24.4","52.0","10778","95535","96004","0.5","2838.8","1061","1736","6820","6728","0.0","4.8","31.4","2.8","0.0","5404","37.7"
"Radford city","VA","7.9","13.3","3.8","32.1","86.7","611","4693","-11.9","314","0.2","2.4","9.1","3.2","0.1","2.2","86.0","83.2","46.2","5516","6558","144000","2.49","38.7","30714","16181","37.7","10","4.1","9.87","6.7","60.9","0","18.7","52.5","918","16408","17646","7.5","1662.1","362","302","1096","6789","0.0","0.0","0.0","0.0","0.0","805","22.2"
"Richmond city","VA","11.4","18.4","6.3","34.8","81.5","13688","122120","7.9","6000","0.6","2.4","49.7","6.6","0.2","2.2","44.7","40.2","43.1","84833","100107","196400","2.33","42.8","40496","27184","25.6","551","7.0","59.81","9.8","76.6","101921","21.7","52.3","12126","204214","217853","6.7","3414.7","4768","28433","19227","9583","0.0","3.5","20.9","1.2","0.0","15141","28.6"
"Roanoke city","VA","14.9","22.1","7.2","23.6","81.8","5307","66575","2.6","3180","0.4","2.3","29.0","5.9","0.1","2.8","65.4","60.7","54.8","42494","47378","134700","2.24","33.1","38145","23295","22.4","49","6.6","42.56","8.8","80.6","15823","18.4","52.3","7732","97032","99428","2.6","2279.8","2671","22336","20397","21922","0.0","4.7","8.5","0.0","0.0","7102","25.9"
"Salem city","VA","17.1","19.9","5.3","30.8","88.9","1393","18587","-1.3","969","0.3","1.9","7.3","3.2","0.0","1.9","88.5","86.0","66.6","9908","10854","170300","2.32","22.9","48733","26661","11.7","38","4.9","14.44","6.1","79.8","9840","17.2","52.2","2222","24802","25483","2.6","1717.9","679","6211","5378","21445","0.0","2.9","0.0","0.0","0.0","2121","21.2"
"Staunton city","VA","20.6","18.9","5.8","28.0","84.6","1497","10578","0.0","757","0.3","1.2","12.0","2.8","0.0","2.6","83.8","81.5","57.7","10495","11753","169400","2.15","29.2","38501","24753","18.0","137","3.1","19.98","4.0","81.7","1013","19.3","55.0","1819","23746","24538","3.3","1188.8","655","682","4474","18861","0.0","0.0","0.0","0.0","0.0","2566","22.5"
"Suffolk city","VA","13.0","24.9","6.4","26.2","87.2","4742","20921","1.7","1492","0.4","1.8","42.9","3.7","0.1","2.3","52.4","49.9","73.4","30492","35195","242000","2.75","14.0","66085","29135","11.4","348","3.2","400.17","4.5","86.7","13078","28.1","51.7","10741","84585","86806","2.6","211.4","727","7158","8203","10108","0.5","0.0","24.0","0.0","0.0","5218","29.6"
