"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Wheeler County","GA","14.8","16.9","4.5","13.6","80.8","375","0.1","0.4","37.8","5.4","0.0","1.3","60.4","56.1","63.3","1862","2635","58800","4.14","30192","14654","0.2","295.48","1.1","94.6","-1","30.9","35.6","388","7471","7421","25.1","997","21249","294","134","137","92","196","52","236"
"Wheeler County","NE","28.5","19.2","5.6","19.4","95.6","84","0.5","0.4","-1.0","1.5","-1.0","1.4","97.7","96.4","67.1","346","584","97800","2.26","51591","29037","0.5","575.18","1.8","85.3","-1","17.7","49.2","44","774","818","1.4","243","-1","41","0","0","0","33","0","36"
"Wheeler County","OR","36.3","13.9","3.6","14.9","91.6","147","2.6","1.1","0.2","5.9","0.2","4.1","91.9","87.0","76.1","640","919","155300","2.18","40926","21702","2.9","1714.75","4.2","86.1","-1","24.0","51.4","166","1451","1441","0.8","857","-1","225","71","105","0","173","38","170"
"Wheeler County","TX","19.8","25.4","6.2","16.8","80.2","475","1.9","0.9","3.1","25.2","-1.0","1.8","92.4","69.1","66.6","2183","2723","84000","2.42","49315","27093","8.0","914.52","20.0","91.0","-1","21.2","49.8","256","4990","5410","5.9","19744","71600","677","129","413","35","601","104","548"
"White County","AR","16.8","23.0","5.9","20.9","84.4","5399","0.7","0.9","4.6","4.4","0.1","2.0","91.7","87.7","66.1","29055","34035","120100","2.58","44029","23702","3.0","1035.08","6.2","80.2","1031011","24.5","51.3","4692","76822","77076","74.5","113612","911665","6198","1954","3266","389","5576","664","5218"
"White County","GA","23.3","19.6","4.8","22.7","85.2","2724","0.6","0.6","2.0","3.4","0.1","1.7","95.1","92.1","75.9","11695","16409","176300","2.49","52493","27406","2.3","240.69","4.3","86.1","122909","28.7","51.3","2707","28003","27144","112.8","63851","279668","2809","863","1628","142","2610","342","2370"
"White County","IL","21.4","22.2","5.8","15.5","89.9","1081","0.4","0.6","0.7","1.6","0.1","1.1","97.1","95.9","80.6","6041","7164","71500","2.23","49290","26746","1.8","494.77","1.8","88.7","-1","24.4","51.0","999","13877","14665","29.6","-1","142853","1512","391","851","26","1435","109","1259"
"White County","IN","20.3","23.2","6.1","16.4","88.8","1457","0.7","0.6","0.9","8.8","0.1","1.3","96.4","88.8","77.5","9879","13192","113500","2.41","54576","27461","4.2","505.13","7.9","86.2","926372","25.5","50.2","1854","24688","24643","48.8","23191","302857","1982","572","1086","96","1811","291","1571"
"White County","TN","20.5","21.8","5.8","12.3","83.2","2054","0.5","0.4","1.8","2.8","0.1","1.6","95.5","93.1","80.0","10048","12102","117000","2.63","41998","22040","1.3","376.67","1.3","88.9","561058","24.0","51.0","1919","27351","25841","68.6","-1","209411","2304","643","1473","53","2193","298","1878"
"White Pine County","NV","18.3","20.3","5.4","13.2","88.1","450","5.1","1.1","5.1","16.7","0.2","2.9","85.6","71.0","75.6","3516","4536","154100","2.33","60827","25675","3.8","8875.65","9.2","79.7","-1","16.6","41.8","708","9080","10030","1.1","31245","110995","548","119","315","76","430","71","445"
"Whiteside County","IL","21.3","21.9","5.8","18.2","90.6","2757","0.5","0.6","1.8","12.3","0.0","1.8","95.3","84.0","74.9","23084","25809","106700","2.38","54232","29856","3.2","684.25","7.7","87.5","1453219","19.0","50.5","3963","55691","58498","85.5","66539","577968","3622","1191","1899","175","3208","202","3106"
"Whitfield County","GA","14.4","25.8","6.5","15.7","69.5","6147","1.4","1.6","4.4","36.3","0.2","1.7","90.6","57.1","64.6","35629","40371","133400","2.88","48623","23974","18.7","290.46","31.2","91.7","5805314","20.9","50.2","3714","102864","102599","353.2","-1","1302376","7105","2338","3871","1574","5133","780","5779"
"Whitley County","IN","18.5","22.9","6.0","20.7","91.8","2187","0.4","0.5","0.5","2.2","0.0","1.3","97.3","95.3","82.2","13742","15041","143100","2.42","61741","31843","1.4","335.57","4.0","89.2","2199735","24.0","50.1","2101","34191","33292","99.2","39470","343433","2604","742","1390","53","2422","214","2240"
"Whitley County","KY","16.0","25.3","7.4","20.4","81.4","2289","0.3","0.4","0.9","1.4","0.0","1.3","97.0","95.7","68.8","12620","15530","92500","2.71","39005","20547","0.9","437.83","1.8","88.0","227986","21.7","50.8","1905","36712","35637","81.4","52970","442623","3151","922","1794","99","2947","342","2563"
"Whitman County","WA","10.7","15.0","4.1","49.8","95.5","2224","0.9","8.4","2.4","6.5","0.3","4.2","83.8","78.4","43.6","17999","21262","217600","2.35","42745","23560","11.3","2159.09","15.2","63.6","-1","16.1","49.1","2084","47973","44776","20.7","62120","333569","2522","787","1155","268","2127","156","2055"
"Wibaux County","MT","25.8","20.2","5.7","23.4","88.7","74","1.3","0.6","0.4","3.7","-1.0","1.0","96.6","93.0","79.7","498","580","113500","2.21","53958","25591","2.8","889.27","6.7","88.5","-1","19.0","49.1","94","937","1017","1.1","1484","6264","107","0","56","0","102","0","99"
"Wichita County","KS","20.2","26.3","6.3","20.6","86.6","183","1.2","0.4","1.7","30.7","0.0","1.7","95.0","66.4","73.3","934","1051","88900","2.25","57978","29126","13.5","718.57","26.7","88.7","-1","14.9","48.2","119","2152","2234","3.1","-1","19767","297","86","141","47","231","29","241"
"Wichita County","TX","15.0","22.5","6.3","23.1","86.6","7797","1.3","2.1","11.1","19.8","0.2","2.9","82.4","64.6","60.3","48356","56200","100000","2.41","48650","24872","6.6","627.78","13.8","80.0","1400778","15.5","48.3","11085","129350","131500","209.5","-1","1991029","9239","2560","5118","1470","7218","1248","7035"
"Wicomico County","MD","16.3","21.9","6.1","27.2","87.2","6531","0.4","3.0","27.3","5.5","0.1","2.8","66.2","62.0","57.7","37793","42531","175700","2.6","56956","28080","8.3","374.44","11.2","81.1","1216805","21.9","52.7","6409","103588","98733","263.7","187129","1608264","7546","2636","3697","1718","5376","637","6290"
"Wilbarger County","TX","19.0","22.1","5.9","15.2","77.2","701","1.6","3.1","8.2","29.8","0.1","2.5","84.5","56.9","60.7","5180","6217","68300","2.34","45302","23696","4.5","970.84","17.2","78.5","-1","14.0","50.8","690","12887","13535","13.9","20809","254627","1427","415","651","326","1012","53","1307"
"Wilcox County","AL","20.3","23.3","6.3","12.5","76.5","530","0.2","0.2","71.1","1.4","0.0","0.8","27.6","26.9","67.9","3854","5840","79400","2.71","31014","16841","0.6","888.5","2.7","93.1","-1","27.1","52.5","382","10600","11670","13.1","-1","72837","862","315","467","512","314","137","669"
"Wilcox County","GA","18.2","19.0","5.1","12.2","82.1","532","0.3","0.8","34.5","5.0","0.0","1.6","62.8","58.9","76.1","2575","3533","61800","2.61","36964","16183","3.6","377.71","5.2","88.6","-1","27.7","40.2","515","8766","9255","24.5","611","23371","584","203","302","154","419","31","494"
"Wilkes County","GA","23.7","20.9","5.1","13.8","83.7","652","0.2","0.9","41.1","5.4","0.0","2.0","55.8","51.4","67.5","3979","5156","87200","2.45","37838","24674","3.2","469.49","5.7","88.6","175655","26.6","52.2","569","9565","10593","22.6","6718","70376","787","268","458","272","479","56","695"
"Wilkes County","NC","22.2","20.1","5.1","15.8","80.1","4441","0.4","0.6","4.7","6.9","0.1","1.5","92.7","86.7","75.7","28753","33766","126300","2.35","44107","25202","4.1","754.28","6.4","93.4","1156115","25.3","50.9","4197","65969","69340","91.9","65660","1365239","5280","1315","3274","377","4721","462","4512"
"Wilkin County","MN","19.7","22.5","6.1","23.8","94.9","486","1.8","0.5","0.6","3.1","0.0","1.8","95.3","92.8","78.1","2818","3157","140000","2.18","60595","34543","0.5","750.96","1.4","94.5","-1","17.6","48.0","357","6506","6576","8.8","4250","68398","709","158","497","30","631","39","592"
"Wilkinson County","GA","20.2","22.6","5.6","10.9","84.4","667","0.5","0.4","38.0","3.1","0.0","1.8","59.3","56.8","75.2","3185","4502","70700","2.8","38996","22141","1.8","447.31","2.5","93.0","-1","26.8","52.0","418","8877","9563","21.4","1003","32512","718","376","307","422","277","68","621"
"Wilkinson County","MS","17.8","20.8","5.3","13.7","74.8","581","0.3","0.1","70.6","1.0","0.0","0.8","28.2","27.6","79.9","3170","5237","70300","2.43","27313","15475","0.0","678.11","0.1","91.8","-1","27.0","46.0","291","8587","9878","14.6","-1","54406","752","266","367","317","407","94","601"
"Will County","IL","13.5","24.4","5.8","34.3","91.0","50716","0.5","6.0","12.2","18.2","0.1","2.0","79.2","62.5","81.3","229498","246655","232000","2.96","86961","36524","12.3","836.91","20.5","90.3","20627242","33.0","50.4","29993","696355","677560","809.6","1313535","7862106","53577","18811","29269","14156","37883","3804","47833"
"Willacy County","TX","14.3","23.5","6.3","8.9","65.7","1322","0.7","0.9","2.7","88.5","0.1","0.6","95.0","8.5","70.5","5782","7401","55300","3.52","35521","14888","14.9","590.55","63.5","91.9","-1","21.5","44.7","581","20164","22134","37.5","13133","118428","1342","611","606","1127","150","151","1128"
"Williams County","ND","9.2","29.4","9.9","23.6","90.5","2798","4.3","0.9","5.1","9.0","0.2","3.7","85.8","78.2","52.6","14320","19659","247400","2.42","87161","44235","6.1","2077.4","9.1","79.7","125073","16.8","46.1","2055","40950","22398","10.8","259135","797514","3170","808","1666","175","2762","476","2306"
"Williams County","OH","19.2","22.6","5.8","15.2","90.5","2197","0.4","0.6","1.3","4.9","0.0","1.1","96.6","92.1","77.0","15090","16666","105400","2.37","53183","27124","1.2","420.97","2.8","86.1","2466266","18.5","50.2","2374","37102","37642","89.4","34994","326557","2782","769","1601","87","2589","196","2427"
"Williamsburg County","SC","21.7","20.4","5.1","12.3","80.1","1679","0.6","0.9","64.5","2.3","0.0","1.0","33.0","31.6","73.0","12686","15633","68300","2.35","32485","18257","1.8","934.16","3.3","92.3","1777975","31.1","52.5","1755","31026","34423","36.8","-1","225217","2270","1049","1046","1105","1098","322","1754"
"Williamsburg city","VA","15.7","10.4","3.5","56.8","94.7","-1","0.4","6.5","15.0","7.1","0.0","3.6","73.4","67.7","49.3","4706","-1","306000","2.24","57463","29758","6.9","9.02","13.9","62.6","954","19.1","53.6","1009","15425","14068","1559.3","217464","348742","1382","274","709","177","1081","128","928"
"Williamson County","IL","19.5","21.7","5.9","24.3","92.3","4188","0.5","1.3","4.6","2.7","0.0","1.9","91.6","89.3","70.1","27029","31570","114900","2.41","50734","28375","1.8","420.15","3.6","87.9","793015","22.4","50.2","5298","67153","66357","157.9","123702","1116282","5350","1499","2985","303","4761","463","4499"
"Williamson County","TN","13.5","26.8","5.9","59.8","95.3","29249","0.3","5.2","4.5","4.9","0.1","1.8","88.2","83.8","80.6","77855","87541","449000","2.89","112962","52702","7.6","582.6","8.5","84.6","558319","27.9","50.9","9928","247726","183182","314.4","485174","3968591","25780","7549","14409","1932","22787","2945","21354"
"Williamson County","TX","12.4","25.2","6.3","41.3","93.2","50155","0.9","8.0","7.4","24.8","0.2","2.9","80.6","58.0","68.4","180160","205609","262300","3.02","87337","37242","12.6","1118.3","21.8","82.6","1886336","28.4","50.7","34924","609017","422679","378.0","817019","8584959","38356","13316","20610","10020","27023","3588","32883"
"Wilson County","KS","22.0","24.0","6.3","16.5","88.5","606","1.7","0.5","0.5","3.7","0.1","2.8","94.5","91.5","73.3","3712","4664","73500","2.3","48341","27471","1.1","570.42","1.4","89.4","181484","16.2","50.5","505","8624","9409","16.5","-1","57664","820","174","471","43","722","48","724"
"Wilson County","NC","18.7","22.7","5.9","19.6","80.3","4834","0.6","1.3","40.5","10.8","0.1","1.6","55.8","46.8","59.1","32014","36508","123600","2.5","43877","24790","6.4","368.17","10.9","89.0","13159851","21.6","52.6","5575","78784","81234","220.6","139263","992692","5990","2183","3099","1834","3784","614","4905"
"Wilson County","TN","16.0","23.4","6.0","32.4","91.6","12736","0.5","1.8","7.5","4.6","0.1","2.0","88.1","84.1","76.8","49664","56410","264600","2.72","75991","34575","4.9","570.83","6.1","86.7","1281590","30.8","50.8","8999","147737","113993","199.7","190016","1432589","11452","3318","6839","966","10157","1415","9403"
"Wilson County","TX","16.5","23.8","5.8","21.8","87.6","3850","1.0","0.7","1.9","40.2","0.1","1.4","95.0","56.5","84.4","15733","17873","199600","3.09","76692","32312","3.7","803.73","20.6","89.8","121856","35.9","49.8","4588","49753","42918","53.4","36842","452449","3893","1032","2444","1265","2560","470","3202"
"Winchester city","VA","15.9","22.9","6.7","35.1","84.1","-1","0.2","2.2","10.1","17.8","0.0","4.2","82.0","66.0","44.3","10490","-1","244900","2.56","58818","30859","13.2","9.23","19.9","82.0","866228","25.6","50.9","1745","28120","26203","2838.1","119057","888461","2857","733","1484","379","2174","138","2313"
"Windham County","CT","17.2","19.7","5.0","24.3","88.4","6918","0.7","1.5","3.2","12.4","0.1","2.5","92.0","82.0","69.0","44953","49966","204400","2.47","66550","32732","4.9","512.91","12.3","87.2","2146052","26.5","50.4","7875","116418","118428","230.9","158585","1296178","8262","2477","4750","706","7235","736","6930"
"Windham County","VT","23.9","17.6","4.4","38.1","92.4","5257","0.3","1.2","1.5","2.4","0.1","2.2","94.7","92.7","67.3","18943","30948","214200","2.17","51985","32535","3.4","785.31","3.9","87.5","421354","22.2","51.1","2821","45905","44513","56.7","151451","604405","7029","2151","3569","180","6542","754","5788"
"Windsor County","VT","24.2","17.9","4.3","38.2","93.4","6219","0.3","1.0","1.0","1.8","0.0","1.8","95.9","94.3","73.8","24298","35188","224500","2.24","60987","36252","3.7","969.34","4.2","88.7","442582","23.5","51.0","3744","57753","56670","58.5","176798","726304","7844","2265","4439","159","7431","816","6490"
"Winkler County","TX","12.0","29.1","7.4","8.2","69.2","753","2.1","0.9","3.4","61.8","0.0","1.2","92.4","33.9","79.6","2619","3100","62700","2.97","60366","24467","13.4","841.11","38.8","90.0","-1","18.8","48.3","303","7791","7110","8.5","-1","53591","689","276","307","252","387","46","601"
"Winn Parish","LA","19.1","20.6","5.8","13.9","81.8","708","0.9","0.3","31.1","2.1","0.0","1.5","66.3","64.6","67.2","5483","7342","77700","2.26","38353","22107","1.1","950.09","1.8","87.4","-1","30.2","46.4","645","13755","15313","16.1","-1","113872","889","182","477","79","749","114","706"
"Winnebago County","IA","22.0","21.8","5.4","21.8","92.4","862","0.5","1.0","1.7","5.1","0.0","1.6","95.3","90.8","76.0","4577","5198","94800","2.16","49870","28342","2.3","400.49","4.8","88.2","734717","16.9","50.7","613","10679","10866","27.1","-1","131378","900","239","464","0","821","114","640"
"Winnebago County","IL","18.0","23.3","6.3","22.9","87.7","17456","0.6","2.8","14.0","13.5","0.1","3.0","79.6","67.7","65.9","114779","125708","120400","2.44","54489","29278","8.4","513.36","14.7","86.6","8145553","22.6","51.2","16663","285350","295266","575.2","490045","3752072","23044","8694","11942","5003","17098","2482","19109"
"Winnebago County","WI","16.8","20.4","5.5","28.3","92.9","8625","0.8","3.1","2.5","4.4","0.1","1.8","91.8","88.0","65.2","70594","76303","152500","2.3","58543","32571","3.5","434.49","6.4","83.0","11476462","18.5","49.7","11081","171730","166994","384.3","234584","2064921","10556","2819","6103","581","9309","1299","8403"
"Winneshiek County","IA","21.1","18.5","4.5","30.6","95.2","1914","0.2","1.2","0.9","2.4","0.0","0.9","96.9","94.9","79.3","8257","9057","177300","2.18","65263","32075","1.9","689.87","3.5","86.6","300910","18.3","50.2","1050","20070","21056","30.5","32422","292986","2760","832","1472","52","2607","250","2371"
"Winona County","MN","17.6","17.8","4.7","30.1","93.5","2930","0.5","2.6","1.8","3.1","0.0","1.3","93.7","91.0","70.4","19442","21327","167300","2.41","59329","30013","3.3","626.21","6.2","81.9","1567927","18.2","50.5","3071","49671","51461","82.2","76409","681881","3637","1081","1898","79","3370","372","3034"
"Winston County","AL","21.9","20.2","5.3","12.8","78.8","1648","0.9","0.4","1.0","3.3","0.2","1.7","95.9","93.3","79.4","9592","13765","86100","2.44","35788","22952","1.5","612.98","2.5","88.7","608159","31.4","50.8","1376","23540","24484","39.9","-1","165007","1836","638","919","40","1667","253","1517"
"Winston County","MS","20.5","22.4","5.4","14.7","81.7","1289","1.3","0.3","46.8","1.4","0.0","0.9","50.7","49.6","73.1","7269","8803","84900","2.44","34724","25263","0.3","607.25","1.8","84.5","328925","28.1","51.0","1009","17714","19198","31.6","20790","209587","1641","445","1086","508","1080","278","1302"
"Wirt County","WV","20.8","21.3","4.6","11.2","82.9","259","0.2","0.3","0.4","0.9","0.0","1.3","97.7","96.9","83.7","2505","3336","95800","2.31","46048","23568","0.2","232.51","2.5","94.2","-1","39.2","49.1","487","5194","5717","24.6","-1","19762","402","174","218","0","391","98","296"
"Wise County","TX","15.1","24.7","6.2","18.0","85.3","5989","1.2","0.7","1.6","20.0","0.1","1.7","94.8","76.0","77.9","22369","25166","170300","2.92","64536","29418","7.8","904.42","16.0","88.1","550225","32.2","49.9","4823","68632","59127","65.4","75925","757064","4846","1304","2923","668","4019","534","4045"
"Wise County","VA","19.2","19.1","4.6","15.0","75.9","1510","0.2","0.4","5.8","1.2","0.0","1.1","92.5","91.4","66.6","14925","17916","85500","2.37","38888","21500","1.1","403.19","1.7","86.2","-1","22.3","47.9","2193","36130","41452","102.8","42130","500864","2086","633","1016","29","1961","274","1709"
"Wolfe County","KY","19.9","23.1","6.7","8.7","71.8","432","0.5","0.1","0.4","1.0","-1.0","1.0","98.0","97.1","63.4","2898","3754","64400","2.44","24623","14923","0.2","222.17","2.3","82.6","-1","29.6","51.1","341","6562","7355","33.1","-1","58172","422","159","193","0","383","0","383"
"Wood County","OH","15.7","20.3","5.3","33.5","94.3","7827","0.3","1.8","2.8","5.7","0.0","1.9","93.1","88.0","65.3","50589","54130","163600","2.44","62390","32431","3.2","617.21","4.7","79.4","4256031","20.5","50.7","6997","132248","125488","203.3","263878","1813370","9574","3033","5362","606","8502","1010","7985"
"Wood County","TX","27.5","18.9","4.8","16.6","84.7","3799","1.0","0.6","5.6","10.4","0.1","1.6","91.1","82.0","80.2","16510","21402","137500","2.59","53394","29005","3.6","645.23","8.9","84.6","575658","30.7","50.4","4153","44843","41964","65.0","40611","393700","3800","1311","1931","357","3315","465","3081"
